newfilename,pathlength,oldfilepath
access-control-overview.md,29,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Access-Control-Overview.md
access-this-computer-from-the-network.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Access-this-computer-from-the-network.md
active-directory-accounts.md,31,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Active-Directory-Accounts.md
active-directory-security-groups.md,38,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Active-Directory-Security-Groups.md
add-workstations-to-domain.md,32,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Add-workstations-to-domain.md
bypass-traverse-checking.md,30,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Bypass-traverse-checking.md
dynamic-access-control-overview.md,37,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Dynamic-Access-Control-Overview.md
local-accounts.md,20,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Local-Accounts.md
microsoft-accounts.md,24,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Microsoft-Accounts.md
packaged-apps-and-packaged-app-installer-rules-in-applocker.md,65,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Packaged-Apps-and-Packaged-App-Installer-Rules-in-AppLocker.md
security-auditing-overview.md,32,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Security-Auditing-Overview.md
security-identifiers-technical-overview.md,45,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Security-Identifiers-Technical-Overview.md
security-principals-technical-overview.md,44,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Security-Principals-Technical-Overview.md
service-accounts.md,22,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Service-Accounts.md
special-identities.md,24,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\Special-Identities.md
user-rights-assignment.md,28,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\access-control\User-Rights-Assignment.md
applocker-policies-deployment-guide.md,41,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\deploy\AppLocker-Policies-Deployment-Guide.md
create-your-applocker-policies.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\deploy\Create-Your-AppLocker-Policies.md
create-your-applocker-rules.md,33,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\deploy\Create-Your-AppLocker-Rules.md
deploy-the-applocker-policy-into-production.md,49,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\deploy\Deploy-the-AppLocker-Policy-into-Production.md
requirements-for-deploying-applocker-policies.md,51,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\deploy\Requirements-for-Deploying-AppLocker-Policies.md
understand-the-applocker-policy-deployment-process.md,56,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\deploy\Understand-the-AppLocker-Policy-Deployment-Process.md
use-a-reference-computer-to-create-and-maintain-applocker-policies.md,72,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\deploy\Use-a-Reference-Computer-to-Create-and-Maintain-AppLocker-Policies.md
using-software-restriction-policies-and-applocker-policies.md,64,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\deploy\Using-Software-Restriction-Policies-and-AppLocker-Policies.md
applocker-policies-design-guide.md,37,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\AppLocker-Policies-Design-Guide.md
create-list-of-applications-deployed-to-each-business-group.md,65,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Create-List-of-Applications-Deployed-to-Each-Business-Group.md
create-your-applocker-planning-document.md,45,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Create-Your-AppLocker-Planning-Document.md
determine-group-policy-structure-and-rule-enforcement.md,59,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Determine-Group-Policy-Structure-and-Rule-Enforcement.md
determine-your-application-control-objectives.md,51,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Determine-Your-Application-Control-Objectives.md
document-group-policy-structure-and-applocker-rule-enforcement.md,68,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Document-Group-Policy-Structure-and-AppLocker-Rule-Enforcement.md
document-your-application-control-management-processes.md,60,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Document-Your-Application-Control-Management-Processes.md
document-your-application-list.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Document-Your-Application-List.md
document-your-applocker-rules.md,35,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Document-Your-AppLocker-Rules.md
